index,name,page_url,project_url,author,project,id
1877,已停产的星瞳科技OpenMV4 H7 R1,https://oshwhub.com/qyjqyj/openmv,https://pro.lceda.cn/editor#id=fcaf93278c434f4ab972c5de1fa6f80d,qyjqyj,openmv,fcaf93278c434f4ab972c5de1fa6f80d
1878,USB2.0扩展坞_V1.0,https://oshwhub.com/xieyv/usb20-docking-station-v10,https://pro.lceda.cn/editor#id=29c405a314ad4b4f85cae9d08994a06c,xieyv,usb20-docking-station-v10,29c405a314ad4b4f85cae9d08994a06c
1879,阿里云平台+cw32单片机多功能桌面工具,https://oshwhub.com/sakura216/voltage-current-meter,https://pro.lceda.cn/editor#id=507d19607a244070976a3dfe540d7bc0,sakura216,voltage-current-meter,507d19607a244070976a3dfe540d7bc0
1880,【开拓者】STM32G431无刷电机驱动,https://oshwhub.com/naicha123/stm32g431-wu-shua-dian-ji-qu-dong,https://pro.lceda.cn/editor#id=af0c7ffcf3d74776a3925440a31d74f8,naicha123,stm32g431-wu-shua-dian-ji-qu-dong,af0c7ffcf3d74776a3925440a31d74f8
1881,CH32L103 PD开发板,https://oshwhub.com/lemon_wifi/CH32L103_EVT,https://pro.lceda.cn/editor#id=7dbd4bba831b478aaa823c03bb4394ed,lemon_wifi,CH32L103_EVT,7dbd4bba831b478aaa823c03bb4394ed
1882,[已验证] stm32f407开发板,https://oshwhub.com/robcon/stm32f407-kai-fa-ban-v2,https://pro.lceda.cn/editor#id=fe4b83623c63436c9e9060d6188e04de,robcon,stm32f407-kai-fa-ban-v2,fe4b83623c63436c9e9060d6188e04de
1883,STM32G071 2PD开发板,https://oshwhub.com/lemon_wifi/stm32g071,https://pro.lceda.cn/editor#id=32bb765ded1c475fa32a5c93a93e999f,lemon_wifi,stm32g071,32bb765ded1c475fa32a5c93a93e999f
1884, 【XHZL-Link】（2.42寸OLED供电版本）,https://oshwhub.com/xiaohanxdzdy/xhzl-link242-inch-oled-power-sup,https://pro.lceda.cn/editor#id=1799acde596f40c5b6383b2a0bcbb979,xiaohanxdzdy,xhzl-link242-inch-oled-power-sup,1799acde596f40c5b6383b2a0bcbb979
1885,7.5寸保资墨水屏标签改造 墨水屏天气站 带温湿度 连接和风天气,https://oshwhub.com/wang7606/75-inch-ink-screen-label-transfo,https://pro.lceda.cn/editor#id=3361d973a11e40b79520725d116c2534,wang7606,75-inch-ink-screen-label-transfo,3361d973a11e40b79520725d116c2534
1886,气泵控制模块,https://oshwhub.com/dapenson/qi-beng-kong-zhi-ban,https://pro.lceda.cn/editor#id=9f71c7888b0b4e689ca8bdfbbec50f33,dapenson,qi-beng-kong-zhi-ban,9f71c7888b0b4e689ca8bdfbbec50f33
1887,【孤独摇滚彩色丝印】Air32-Arduino,https://oshwhub.com/alaskachinese/Air32-Arduino,https://pro.lceda.cn/editor#id=627ab4b44c5e4dd2a773eec05a5d3c06,alaskachinese,Air32-Arduino,627ab4b44c5e4dd2a773eec05a5d3c06
1888,usb_ttl,https://oshwhub.com/yajunwu/usb_ttl,https://pro.lceda.cn/editor#id=e86a9fa67490466da404f8156572a539,yajunwu,usb_ttl,e86a9fa67490466da404f8156572a539
1889,基于立创-开发板的设计项目,https://oshwhub.com/ycsmn/design-project-based-on-lichuang,https://pro.lceda.cn/editor#id=e210987aa7f8418d94b649c8cf5cb188,ycsmn,design-project-based-on-lichuang,e210987aa7f8418d94b649c8cf5cb188
1890,电脑前面板，重启、电源按钮，开机、硬盘指示灯,https://oshwhub.com/linux-rm-member/computer-panel,https://pro.lceda.cn/editor#id=792fa5712c354e07831fe0699246c171,linux-rm-member,computer-panel,792fa5712c354e07831fe0699246c171
1891,基于立创·地文星CW32F030C8T6开发板的电压电流表,https://oshwhub.com/czchao/voltage-ammeter,https://pro.lceda.cn/editor#id=f391574beb6b4cc9a89f2aeeaa2361d4,czchao,voltage-ammeter,f391574beb6b4cc9a89f2aeeaa2361d4
1892,XC7K325T-900核心板V1.0,https://oshwhub.com/jiao_chi/xc7k325t-900-he-xin-ban-v1-0,https://pro.lceda.cn/editor#id=8bdee8a6c7dc4e0f97b10a425b1c6ae2,jiao_chi,xc7k325t-900-he-xin-ban-v1-0,8bdee8a6c7dc4e0f97b10a425b1c6ae2
1893,rp2040模块 3d打印机主板,https://oshwhub.com/qingf/rp2040-3d-da-yin-ji-zhu-ban,https://pro.lceda.cn/editor#id=33f5e31cd1624d07828f72ff543662dc,qingf,rp2040-3d-da-yin-ji-zhu-ban,33f5e31cd1624d07828f72ff543662dc
1894,基于CH334U的USB2.0 HUB,https://oshwhub.com/steamreg/ji-yu-CH334Ude-USB2.0-HUB,https://pro.lceda.cn/editor#id=5d05ae2bd79645b7981470531c85e294,steamreg,ji-yu-CH334Ude-USB2.0-HUB,5d05ae2bd79645b7981470531c85e294
1895,迷你无线开关,https://oshwhub.com/emolife/mi-ni-wu-xian-kai-guan,https://pro.lceda.cn/editor#id=db3e875960b743c5a4c30feecf36a875,emolife,mi-ni-wu-xian-kai-guan,db3e875960b743c5a4c30feecf36a875
1896,usb-hub电压电流表,https://oshwhub.com/ghost119900/voltage-ammeter,https://pro.lceda.cn/editor#id=3191c36224c04773b29dc2474ffaa071,ghost119900,voltage-ammeter,3191c36224c04773b29dc2474ffaa071
1897,CW32-电压电流表训练营,https://oshwhub.com/liufujie/current-and-voltmeter-training-c,https://pro.lceda.cn/editor#id=8f8bf78ad45a4c1d812e9bbbe4498e9e,liufujie,current-and-voltmeter-training-c,8f8bf78ad45a4c1d812e9bbbe4498e9e
1898,纽扣电池充电器,https://oshwhub.com/q508/dao-tong-zhuan-jie-ban,https://pro.lceda.cn/editor#id=13c549d93dd64b669daed5a1478aa252,q508,dao-tong-zhuan-jie-ban,13c549d93dd64b669daed5a1478aa252
1899,南昌大学科学技术学院校园卡PCB,https://oshwhub.com/annn4174/xhu_nfc-xi-hua-da-xue-xiao-yuan-di-tu-nfc-ka,https://pro.lceda.cn/editor#id=fb7eb4c411ef421eaf6f5525b241ef02,annn4174,xhu_nfc-xi-hua-da-xue-xiao-yuan-di-tu-nfc-ka,fb7eb4c411ef421eaf6f5525b241ef02
1900,海康球机机芯转接板2.1,https://oshwhub.com/jlc-ljh/hai-kang-qiu-ji-ji-xin-zhuan-jie-ban-2-0-bei-fen,https://pro.lceda.cn/editor#id=4f090c0c7fd247c69552aaa165cb8ec3,jlc-ljh,hai-kang-qiu-ji-ji-xin-zhuan-jie-ban-2-0-bei-fen,4f090c0c7fd247c69552aaa165cb8ec3
1901,蝴蝶女神,https://oshwhub.com/jy2054289596/streamed-butterfly-shadow,https://pro.lceda.cn/editor#id=a4e520f474a4490eb83eabe2f83e8d31,jy2054289596,streamed-butterfly-shadow,a4e520f474a4490eb83eabe2f83e8d31
1902,GPD Pocker3 4G模块,https://oshwhub.com/l734015412/GPD-Pocker3-4Gmu-kuai,https://pro.lceda.cn/editor#id=6db0cd3586884a22a3300bb9b34deac2,l734015412,GPD-Pocker3-4Gmu-kuai,6db0cd3586884a22a3300bb9b34deac2
1903,基于esp33-wroom-32e的usb 口wifi控制继电器,https://oshwhub.com/shun2024/usb-port-wifi-control-relay-base,https://pro.lceda.cn/editor#id=653a3f58527e4a9c9cca7f260be16905,shun2024,usb-port-wifi-control-relay-base,653a3f58527e4a9c9cca7f260be16905
1904,久久派2k0300屏幕转接板 龙芯开发板,https://oshwhub.com/youth-yu/jiu-jiu-pai-2k0300-ping-mu-tuo-zhan-ban,https://pro.lceda.cn/editor#id=6c98b0b2484044dcbbef492f00a9e9ca,youth-yu,jiu-jiu-pai-2k0300-ping-mu-tuo-zhan-ban,6c98b0b2484044dcbbef492f00a9e9ca
1905,WS2812-5050铝基板8X8灯板,https://oshwhub.com/hzy3774/ws2812-5050-lv-ji-ban-8x8-deng-ban,https://pro.lceda.cn/editor#id=c1fcaf4e3f9f42509d9e70435323e947,hzy3774,ws2812-5050-lv-ji-ban-8x8-deng-ban,c1fcaf4e3f9f42509d9e70435323e947
1906,WS2812-Matrix-8x8使用ESP32C3Mini驱动,https://oshwhub.com/hzy3774/ws2812-matrix-8x8-supermini,https://pro.lceda.cn/editor#id=d00e5d62528f4a5790bc9c4581fc2358,hzy3774,ws2812-matrix-8x8-supermini,d00e5d62528f4a5790bc9c4581fc2358
1907,MSPM0G3507核心板,https://oshwhub.com/xiaoqi_ks66/mspm0g3507-he-xin-ban,https://pro.lceda.cn/editor#id=23ba5db4fbb54f77b43bed94c40ef03c,xiaoqi_ks66,mspm0g3507-he-xin-ban,23ba5db4fbb54f77b43bed94c40ef03c
1908,51单片机麦轮小车,https://oshwhub.com/longpo/networking-car,https://pro.lceda.cn/editor#id=6079ec7f67f44a35996ccf649aaef31c,longpo,networking-car,6079ec7f67f44a35996ccf649aaef31c
1909,TM4C123GH6PZT核心板,https://oshwhub.com/xiaoqi_ks66/tm4c123g-he-xin-ban,https://pro.lceda.cn/editor#id=f68007d5259c43ebaf2264b4466fd616,xiaoqi_ks66,tm4c123g-he-xin-ban,f68007d5259c43ebaf2264b4466fd616
1910,基于STC32的麦轮小车,https://oshwhub.com/lkuzi/wheat-wheel-trolley-based-on-stc,https://pro.lceda.cn/editor#id=438b9df373d84fcdb125d621fcb62ae9,lkuzi,wheat-wheel-trolley-based-on-stc,438b9df373d84fcdb125d621fcb62ae9
1911,橱柜感应照明灯,https://oshwhub.com/tency/chu-gui-kai-men-gan-ying-deng,https://pro.lceda.cn/editor#id=8000d79f5cf84ae5b97a076579d63d0b,tency,chu-gui-kai-men-gan-ying-deng,8000d79f5cf84ae5b97a076579d63d0b
1912,锂电池充放电管理板,https://oshwhub.com/lininori/lithium-battery-charge-and-disch,https://pro.lceda.cn/editor#id=8d668f817b834bb0907cca9bae81dfd4,lininori,lithium-battery-charge-and-disch,8d668f817b834bb0907cca9bae81dfd4
1913,[PD充电]mini涵道握力控制器,https://oshwhub.com/him793/mini-han-dao,https://pro.lceda.cn/editor#id=5514398655324b27a6dbf70eab525317,him793,mini-han-dao,5514398655324b27a6dbf70eab525317
1914,流星小恐龙,https://oshwhub.com/q508/liu-xing-xiao-kong-long,https://pro.lceda.cn/editor#id=b3e41957c04d45cf96aeda81ed003648,q508,liu-xing-xiao-kong-long,b3e41957c04d45cf96aeda81ed003648
1915,电源转接板,https://oshwhub.com/xiaocc22/dian-yuan-zhuan-jie-ban,https://pro.lceda.cn/editor#id=940465f5d4ac4caf91ace57aba5b90fb,xiaocc22,dian-yuan-zhuan-jie-ban,940465f5d4ac4caf91ace57aba5b90fb
1916,flipper_fc,https://oshwhub.com/reel_to_reel/flipper_cn,https://pro.lceda.cn/editor#id=12ef0bc556724d94834af837d2806f96,reel_to_reel,flipper_cn,12ef0bc556724d94834af837d2806f96
1917,flipper,https://oshwhub.com/reel_to_reel/flipper,https://pro.lceda.cn/editor#id=03d1ffd351e349959cb3cf44bdc58a65,reel_to_reel,flipper,03d1ffd351e349959cb3cf44bdc58a65
1918,dslogic梦源逻辑分析仪转接板,https://oshwhub.com/steve145/dslogic-zhuan-jie-ban,https://pro.lceda.cn/editor#id=c2028a2ac8894e82bc8338cfda584021,steve145,dslogic-zhuan-jie-ban,c2028a2ac8894e82bc8338cfda584021
1919,群创HJ070NA-13A屏幕供电板及LVDS电平转换电路,https://oshwhub.com/xjtu-wyz/outware-lvds_board,https://pro.lceda.cn/editor#id=2ebf53d8ea4c4f059e0b9081d60511ad,xjtu-wyz,outware-lvds_board,2ebf53d8ea4c4f059e0b9081d60511ad
1920,mach3 接口板,https://oshwhub.com/jia_ming/mach3-interface-board,https://pro.lceda.cn/editor#id=317c558a722c4ce0814f7ebfa78d1a32,jia_ming,mach3-interface-board,317c558a722c4ce0814f7ebfa78d1a32
1921,功率信号源,https://oshwhub.com/vegetablesnake/gong-lv-xin-hao-yuan,https://pro.lceda.cn/editor#id=be2a4a1bc9aa4dd0b8f7cbc7aa51f134,vegetablesnake,gong-lv-xin-hao-yuan,be2a4a1bc9aa4dd0b8f7cbc7aa51f134
1922,J-Link OB-RA4M2_V1.1，全能版OB,https://oshwhub.com/lsanor/j-link-ob-ra4m2_v1-1_24-06-04,https://pro.lceda.cn/editor#id=4dc107ec1a95489c84335d8920138df3,lsanor,j-link-ob-ra4m2_v1-1_24-06-04,4dc107ec1a95489c84335d8920138df3
1923,INA232/236,https://oshwhub.com/zjut_pac/ina232-236,https://pro.lceda.cn/editor#id=1910d5cfd3164bbcb29da187094d4a74,zjut_pac,ina232-236,1910d5cfd3164bbcb29da187094d4a74
1924,STM32F103C8T6开发板,https://oshwhub.com/animal/stm32f103c8t6-development-board,https://pro.lceda.cn/editor#id=b4b91509d70a4f9bbe0da3e8cdb6cb57,animal,stm32f103c8t6-development-board,b4b91509d70a4f9bbe0da3e8cdb6cb57
1925,OV7670模组,https://oshwhub.com/soulhand/ov7670_2024-08-06_12-12-46,https://pro.lceda.cn/editor#id=c191e26fb2d74ab9869e5d6cf3d93869,soulhand,ov7670_2024-08-06_12-12-46,c191e26fb2d74ab9869e5d6cf3d93869
1926,正点原子模块,https://oshwhub.com/bing-lan-se-team/pair-atom-module,https://pro.lceda.cn/editor#id=ad74a92c291743c59c8ac51042800557,bing-lan-se-team,pair-atom-module,ad74a92c291743c59c8ac51042800557
