index,name,url
100,智能电脑鼠高级迷宫小车,/dnoo2/zhi-neng-dian-nao-shu-gao-ji-mi-
101,泰山派MIPI DSI 转 RGB 适配器,/okll/tspi-mipidsi-to-rgb-adapter
102,51单片机DIY开发板（97%直插件）,/xiezhaoyan/51-dan-pian-ji-diy-kai-fa-ban-97-zhi-cha-jian
103,5.1无线环绕K歌音响SoundBar,/aknice/5.1wu-xian-huan-rao-yin-xiang
104,YuToo墨水屏时钟,/gnosis/4c3ff2faabb04861b6b0c41d1a7df3da
105,立创·GD32E230最小系统板,/li-chuang-kai-fa-ban/li-chuang-gd32e230-zui-xiao-xi-tong-ban
106,ESP32S3 86盒开发板 带触摸,/myzhazha/esp32s3_86-kai-fa-ban
107,桌面快捷控制中心,/gugugu625/zhuo-mian-kuai-jie-kong-zhi-zhon
108,4.2寸蓝牙电子相册&amp;日历,/sakading/4-2-cun-lan-ya-dian-zi-xiang-ce
109,260W多口快充桌面电源,/tnanastar/duo-kou-kuai-chong-zhuo-mian-dian-yuan-65w-65w-65w-65w
110,征集令 |基于IoT的智能宠物喂食器,/yuhuang01/ji-yuiot-di-zhi-neng-chong-wu-wei-si-qi
111,HDMI 3进1出切换器 AG7111芯片验证板,/Aknice/1dfda80b41104751846aecc99dd9e055
112,HDMI 5进1出 切换器 双AG7111+ESP32,/Aknice/83d25e9c5f9240499dfcd01eeaa45b82
113,电动锡膏挤出器,/littleoandlittleq/xi-gao-ji-chu-ji
114,全志H6开发板-从零入门ARM高速电路设计,/logicworld/h6_board
115,RP2040六轴3D打印机控制板,/mlm520/RP2040-liuzhou
116,低成本 MOSS 触摸灯 流浪地球2,/alhn/di-cheng-ben-MOSS-chu-mo-deng-li
117,基于全志A133的一款平板,/flyn/flPad
118,MiniPhone,/flyn/MiniPhone
119,基于CW32的MP3播放器,/leichaolin/ji-yu-CW32de-MP3bo-fang-qi
120,多功能宏键盘 3Plus,/kakaka/3Plus
121,Q302桌面多媒体HiFi主机+充电站,/qzc13457/Q302zhuo-mian-duo-mei-ti-HiFizhu
122,多功能无线下载器,/q837877663/duo-gong-neng-wu-xian-xia-zai-qi
123,无线开机键,/morempty/ju-zhou-wu-xian-kai-ji-jian
124,征集令 |3D打印机外设,/lin_xiaoyan/3d-da-yin-ji-wai-she
125,陶瓷灯丝时钟1.0,/spadesa/tao-ci-deng-si-shi-zhong-2
126,萤辉——多功能露营氛围灯,/heyh/ye-ying-nuan-hui
127,基于ESP32-C3+KT0803L+RDA5807M的调频立体声收发信机,/offical-hang/ESP32-C3-KT0803L
128,迷你无线测距tof 基于EPS32-PICO-D4,/kjpig/wirelessds
129,神之眼Plus,/myzhazha/shen-zhi-yan-plus
130,扫描隧道显微镜OpenSTM,/Dimsmary/4ieRpV8S00kGn1MTpsc4MyZat8MwQPzn
131,迷你VFD时钟,/thelight/mini8-wei-vfd-shi-zhong-_2022-10-06
132,适合初学者系列之ESP-全波段收音机,/chimchim4482/GNR001
133,PCIE转M.2转接卡PCI-e固态硬盘,/kill-star_sx/pcie
134,大学生方程式赛车方向盘。可用于实车和模拟器。,/nolimy/steeringWheel_project
135,神之眼Lite,/abrahamabr/shen-zhi-yan-1.0
136,【物联网】鸿蒙智控节点,/PCBguy/uSPBGri2mj45mioEDFejlfLEuDxynjyQ_transfer
137,迷你四足机器人ESP32,/shukkkk/xin-xiao-si-zu-_esp32c3-ban
138,大功率微型桌面充电坞,/zhang_ttl/Desktop_charging_dock
139,3D打印机无线模块  ESP3D 摄像头 USB串口,/liqijian101/esp3d_esp32__camer-v2
140,USB3.0高速集线器，1转4,/dingcheng/RGBzhi-neng-guang-hui-bang-deng
141,可编程电流表,/gnosis/ammeter
142,【嵌入式】逐梦壹号-基于STC32的智能小车设计,/wei-lai-dian-zi-gong-zuo-shi/qian-ru-shi-ji-yu-stc32-de-zhi-nen-xiao-che-she-ji
143,GSM-Weather-S3,/yeshengchengxuyuan/b4b67ab1e8234aeebea054b4eda6f549
144,飞行器设计之5.8Ghz图传,/clz1/5.8Ghztu-zhuan
145,基于NB-IOT的无人水质监测船,/u8xx/ji-yu-NB-IOTde-wu-ren-shui-zhi-j
146,神奇按钮 v1.1版本,/kakaka/shen-qi-an-niu-1-1
147,STC32G12K128核心板-串口下载,/wei-lai-dian-zi-gong-zuo-shi/zui-xiao-xi-tong-stc32g12k128
148,AiPi-Eyes-S2,/ai-thiner_openteam/ai-m61evb-s2_v1-0
149,盖革计数器-辐射检测仪,/li-chuang-kai-fa-ban/he-fu-she-jian-ce-yi
150,电动升降桌,/zhaoyiyi1/dian-dong-sheng-xiang-zhuo
151,智能体重秤,/qgwww/zhi-neng-ti-zhong-cheng
152,物联网智能家居监测控制系统,/edcullen/SMART_HOME
153,大功率触控桌充,/liuwenchao/chu-mo-dian-yuan
154,3.5KW大功率逆变器 【星火计划】,/leichaolin/xing-huo-ji-hua-3.5KWda-gong-shu
155,单体翻页时钟,/daqolee/dan-tfan-ye-shi-zhong
156,PEX8748_2SLIMSAS_4NGFF_GEN3,/malong/PEX8748_2SLIMSAS_4NGFF_GEN3
157,7寸mp4播放器,/an_ye/7cun-zhuo-mian-xin-xi-ping
158,带TF卡双卡双读功能的3.8寸HDMI屏,/zhuyshuang/3-8-cun-hdmi-xian-shi-qi
159,TypeC转DP视频输出模块,/lemon_wifi/CH543
160,DP转HDMI视频输出模块,/lemon_wifi/PS176
161,TypeC转HDMI视频输出模块,/lemon_wifi/CS5265
162,TypeC转DP1.4+USB3.2 Gen1,/lemon_wifi/VL171
163,【瀚文】HelloWord-Keyboard,/pengzhihui/b11afae464c54a3e8d0f77e1f92dc7b7
164,AiPi-Eyes-S1,/ai-thiner_openteam/aipi-eyes-s1
165,便携式USB Hi-Fi耳放,/xyzdiy/ct7601-usb-dac
166,HDMI进HDMI+VGA+模拟音频出转换器,/aknice/ms9332-ms8005-demo
