index,path,name
110,_yuhuang01_ji_yuiot_di_zhi_neng_chong_wu_wei_si_qi,征集令__基于IoT的智能宠物喂食器
111,_Aknice_1dfda80b41104751846aecc99dd9e055,HDMI_3进1出切换器_AG7111芯片验证板
112,_Aknice_83d25e9c5f9240499dfcd01eeaa45b82,HDMI_5进1出_切换器_双AG7111+ESP32
113,_littleoandlittleq_xi_gao_ji_chu_ji,电动锡膏挤出器
114,_logicworld_h6_board,全志H6开发板_从零入门ARM高速电路设计
115,_mlm520_RP2040_liuzhou,RP2040六轴3D打印机控制板
116,_alhn_di_cheng_ben_MOSS_chu_mo_deng_li,低成本_MOSS_触摸灯_流浪地球2
117,_flyn_flPad,基于全志A133的一款平板
118,_flyn_MiniPhone,MiniPhone
119,_leichaolin_ji_yu_CW32de_MP3bo_fang_qi,基于CW32的MP3播放器
120,_kakaka_3Plus,多功能宏键盘_3Plus
121,_qzc13457_Q302zhuo_mian_duo_mei_ti_HiFizhu,Q302桌面多媒体HiFi主机+充电站
122,_q837877663_duo_gong_neng_wu_xian_xia_zai_qi,多功能无线下载器
123,_morempty_ju_zhou_wu_xian_kai_ji_jian,无线开机键
124,_lin_xiaoyan_3d_da_yin_ji_wai_she,征集令__3D打印机外设
125,_spadesa_tao_ci_deng_si_shi_zhong_2,陶瓷灯丝时钟1.0
126,_heyh_ye_ying_nuan_hui,萤辉——多功能露营氛围灯
127,_offical_hang_ESP32_C3_KT0803L,基于ESP32_C3+KT0803L+RDA5807M的调频立体声收发信机
128,_kjpig_wirelessds,迷你无线测距tof_基于EPS32_PICO_D4
129,_myzhazha_shen_zhi_yan_plus,神之眼Plus
130,_Dimsmary_4ieRpV8S00kGn1MTpsc4MyZat8MwQPzn,扫描隧道显微镜OpenSTM
131,_thelight_mini8_wei_vfd_shi_zhong__2022_10_06,迷你VFD时钟
132,_chimchim4482_GNR001,适合初学者系列之ESP_全波段收音机
133,_kill_star_sx_pcie,PCIE转M.2转接卡PCI_e固态硬盘
134,_nolimy_steeringWheel_project,大学生方程式赛车方向盘_可用于实车和模拟器_
135,_abrahamabr_shen_zhi_yan_1.0,神之眼Lite
136,_PCBguy_uSPBGri2mj45mioEDFejlfLEuDxynjyQ_transfer,_物联网_鸿蒙智控节点
137,_shukkkk_xin_xiao_si_zu__esp32c3_ban,迷你四足机器人ESP32
138,_zhang_ttl_Desktop_charging_dock,大功率微型桌面充电坞
139,_liqijian101_esp3d_esp32__camer_v2,3D打印机无线模块__ESP3D_摄像头_USB串口
