电阻盘20Ω
瓷介电容1pF104/50V/P2.54_W2.8_L5_H6
瓷介电容100nF/50V/20%/P2.54_W2.8_L5_H6
高频低阻电容220uF/25VDC/20%/D8_H12_P3.5/带金边为负
空心磁珠RH3.5*6*1.5
通用二极管1N4148/DO35/D1.7_L3.5/带黑边为负极
整流二极管1N5408/DO27/3A/1000V
通用二极管1N4007/DO41/1A/1000V/D2.6_L5.2
快恢复二极管FR107/DO41/1A/1KV
肖特基1N5819/DO41/1A/40V
LEDD5_P3
三极管S9015/PNP/TO92
三极管S8550/PNP/TO92
轻触开关6*6*7.5
无源晶振8MHz/HC49S
无源晶振11.0592MHZ/HC49S
无源晶振12MHZ/HC49S
无源晶振32.768K/DT26
MCU32CW32F030C8T6
LDOAMS11173.3
LDOAMS11175
LDOAMS11171.8
光敏电阻GL550647K
热释电红外传感器D203S_TO53
菲涅尔透镜8006白色1份=10只
一体成型电感06307*7*3
ATMEGA328PAU
DC005电源插座DC005
DC插头
RFANT5220110A0T
GD32E230C8T6
STM32F407VET6
GD32F407VET6
GD32F103VET6
STM32F103VCT6
螺钉式接线端子1282.542P
M3M3*12500颗
M3M3*25100颗
LED5730贴片LED
AT32C16AT24C16
电阻本国巨FR0708051%170种电阻规格各50个
电容本080592种规格各50个
排针单排直针铜针2.54mm1*40p
排母2.54mm1*40p
LED2K/盘
焊锡丝友邦无铅0.8mm
吸锡绳
锡膏183℃无铅中温锡浆100g推杆2针头
拆机LED灯插针
焊锡丝海通
跳线
贴片电容10uF10%080550V
贴片电容100nF10%080550V
贴片电容100nF10%060350V
贴片电阻20欧姆5%0805
贴片电阻1K5%08051K欧姆
贴片电阻10K5%080520欧姆
肖特基二极管SS14电流1A
肖特基二极管SS34电流3A
肖特基二极管SS54电流5A
USBUSB2.0母座90度
USB_HUBVL813Q7QFN76
3225晶振1250Mhz各5pcs
NMOSAO3400A
SY6280AAC
VL813
USBA_3.0_9pin
VL160
typec24P前插后贴/镀金脚新款
USB芯片VL813威盛超高速USB
USB2.0插座A型母座无边卧式母座
独石电容独石50V10PFK档整包1K
独石电容独石50V20PFK档整包1K
独石电容独石50V10nFK档整包1K
USB3.1TYPEC10.0H母座16PIN立式插板
USB3.1TYPEC10.0H母座24PIN立式插板
独石电容独石50V30nFK档整包1K
AO3400AO34002.8A/20V
AO340030V/5.8AAO3400
PMOSAO4435
PMOSAO4409
NMOSAO4468
PMOSAO4411
PMOSAO4485
NMOSAO4466
PMOSAOD413A
PMOSIRFR9220
NMOSIRFR1N60A
NMOSIRFR430A
